time,diff,wp,sport
39,1,0.7174986286341203,Soccer
39,2,0.9222797927461142,Soccer
39,3,1,Soccer
42,-3,0,Soccer
42,-2,0.010230179028133016,Soccer
42,-1,0.15700660308143793,Soccer
42,0,0.35894166401020033,Soccer
42,1,0.7313681868743044,Soccer
42,2,0.9351701782820097,Soccer
42,3,0.9791666666666667,Soccer
45,-3,0,Soccer
45,-2,0.015486725663716836,Soccer
45,-1,0.13855421686747002,Soccer
45,0,0.3514492753623183,Soccer
45,1,0.7456090651558076,Soccer
45,2,0.938366718027735,Soccer
45,3,0.983957219251337,Soccer
48,-3,0,Soccer
48,-2,0.019230769230769284,Soccer
48,-1,0.11957349581111923,Soccer
48,0,0.3387263339070569,Soccer
48,1,0.7550335570469806,Soccer
48,2,0.9385964912280702,Soccer
48,3,0.9861751152073732,Soccer
51,-3,0,Soccer
51,-2,0.024896265560166046,Soccer
51,-1,0.10806809770540352,Soccer
51,0,0.3308957952468006,Soccer
51,1,0.7467273762094472,Soccer
51,2,0.9453125,Soccer
51,3,0.991701244813278,Soccer
54,-3,0,Soccer
54,-2,0.017821782178217806,Soccer
54,-1,0.09266123054114164,Soccer
54,0,0.32448036951501225,Soccer
54,1,0.75,Soccer
54,2,0.9421593830334191,Soccer
54,3,0.9963235294117647,Soccer
57,-3,0,Soccer
57,-2,0.012773722627737153,Soccer
57,-1,0.08345864661654108,Soccer
57,0,0.31935483870967685,Soccer
57,1,0.7419536984754382,Soccer
57,2,0.9503105590062113,Soccer
57,3,0.9935275080906149,Soccer
60,-3,0,Soccer
60,-2,0.01909722222222215,Soccer
60,-1,0.07083015993907082,Soccer
60,0,0.30549727234578294,Soccer
60,1,0.7522727272727272,Soccer
60,2,0.9517923362175524,Soccer
60,3,1,Soccer
63,-3,0,Soccer
63,-2,0.01225919439579679,Soccer
63,-1,0.059043348281016206,Soccer
63,0,0.29721496953872983,Soccer
63,1,0.7559863169897378,Soccer
63,2,0.9536019536019535,Soccer
63,3,1,Soccer
66,-3,0,Soccer
66,-2,0.008635578583765081,Soccer
66,-1,0.0511662904439428,Soccer
66,0,0.2804279982166747,Soccer
66,1,0.7685614849187933,Soccer
66,2,0.9598540145985401,Soccer
66,3,1,Soccer
69,-3,0,Soccer
69,-2,0,Soccer
69,-1,0.04473085670962835,Soccer
69,0,0.2605893186003694,Soccer
69,1,0.7837045720984763,Soccer
69,2,0.9612676056338028,Soccer
69,3,1,Soccer
72,-3,0,Soccer
72,-2,0,Soccer
72,-1,0.032724505327245156,Soccer
72,0,0.23389021479713662,Soccer
72,1,0.807962529274005,Soccer
72,2,0.9646226415094339,Soccer
72,3,1,Soccer
75,-3,0,Soccer
75,-2,0,Soccer
75,-1,0.026377036462373615,Soccer
75,0,0.20902036857419878,Soccer
75,1,0.8267297457125956,Soccer
75,2,0.9710843373493976,Soccer
75,3,1,Soccer
78,-3,0,Soccer
78,-2,0,Soccer
78,-1,0.021788129226145904,Soccer
78,0,0.19097744360902327,Soccer
78,1,0.8394248052726186,Soccer
78,2,0.9845971563981043,Soccer
78,3,1,Soccer
81,-3,0,Soccer
81,-2,0,Soccer
81,-1,0.017584097859327293,Soccer
81,0,0.16067761806981656,Soccer
81,1,0.8594990836896758,Soccer
81,2,0.9930151338766007,Soccer
81,3,1,Soccer
84,-3,0,Soccer
84,-2,0,Soccer
84,-1,0.014492753623188718,Soccer
84,0,0.13617245005257583,Soccer
84,1,0.883322764743183,Soccer
84,2,0.9931895573212259,Soccer
84,3,1,Soccer
87,-3,0,Soccer
87,-2,0,Soccer
87,-1,0.006149116064565739,Soccer
87,0,0.09684323167469225,Soccer
87,1,0.9204174820613178,Soccer
87,2,0.9966367713004485,Soccer
87,3,1,Soccer
90,-3,0,Soccer
90,-2,0,Soccer
90,-1,0,Soccer
90,0,0,Soccer
90,1,1,Soccer
90,2,1,Soccer
90,3,1,Soccer
